ville_id,ville,lat,lon,,,,
132,CANTERBURY,51.28023,1.07891,,,,
133,CAP DECOUVERTE,44.02003,2.14293,,,,
134,Cap Frehel,48.68353,-2.31797,,,,
135,CAPTIEUX,44.29153,-0.26172,,,,
136,CARCASSONNE,43.21216,2.35366,,,,
137,Carhaix,48.27558,-3.57419,,,,
138,Carmaux,44.05003,2.16075,,,,
139,CARNON PLAGE,43.54314,3.97484,,,,
140,CARPENTRAS,44.05556,5.04872,,,,
141,CASTELSARRASIN,44.03989,1.10713,,,,
142,CASTILLON LA BATAILLE,44.85207,-0.04301,,,,
143,CASTRES,43.60621,2.2413,,,,
144,CAUTERETS,42.88905,-0.11425,,,,
145,CERGY PONTOISE,49.03201,2.08069,,,,
146,Cerilly,46.6176,2.82208,,,,
147,CHABLIS,47.81527,3.80045,,,,
148,CHALLANS,46.84483,-1.88041,,,,
149,CHALON SUR MARNE,48.95668,4.36307,,,,
150,CHALON SUR SAONE,46.78076,4.85395,,,,
151,CHALONS SUR MARNE,48.95668,4.36307,,,,
152,CHAMBERY,45.5646,5.91778,,,,
153,CHAMBORD,47.61613,1.51722,,,,
154,CHAMONIX,45.9237,6.86943,,,,
155,CHAMPAGNOLE,46.74609,5.90573,,,,
156,CHAMROUSSE,45.12533,5.87868,,,,
157,CHANTONNAY,46.68708,-1.05018,,,,
158,CHARLEROI,50.41081,4.44464,,,,
159,CHARLEVILLE,49.76209,4.7261,,,,
160,CHARLEVILLE-MEZIERS,49.76209,4.7261,,,,
161,CHARTRES,48.44385,1.48901,,,,
162,CHASSIEU EUROEXPO,45.72994,4.95156,,,,
163,CHATEAU THIERRY,49.04599,3.40262,,,,
164,CHATEAUBRIANT,47.72095,-1.37622,,,,
165,CHATEAULIN,48.19539,-4.09421,,,,
166,CHATEAUROUX,46.81143,1.68678,,,,
167,CHATEL,46.2674,6.84115,,,,
168,CHATELLERAULT,46.81649,0.54815,,,,
169,CHAUMEIL,45.45602,1.88078,,,,
170,CHAUMONT,48.11375,5.13926,,,,
171,CHERBOURG,49.63373,-1.62214,,,,
172,CHOLET,47.05941,-0.87979,,,,
173,CHORGES,44.54572,6.27555,,,,
174,CINEY,50.3,5.1,,,,
175,CLERMONT FERRAND,45.77722,3.08703,,,,
176,CLUSES,46.06039,6.58058,,,,
177,COGNAC,45.69105,-0.32874,,,,
178,COL D AUBISQUE,42.97657,-0.33967,,,,
179,COL D AUSBIQUE,42.97657,-0.33967,,,,
180,COLMAR,48.07936,7.35851,,,,
181,COLOGNE,50.93638,6.95277,,,,
182,COLOMIERS,43.61219,1.33658,,,,
183,COMMERCY,48.7638,5.59235,,,,
184,COMPIEGNE,49.41782,2.82615,,,,
185,CONCARNEAU,47.87283,-3.92073,,,,
186,CORBEIL ESSONNES,48.61026,2.47481,,,,
187,CORK,51.89524,-8.47714,,,,
188,CORREZE,45.43201,2.01959,,,,
189,COSNE SUR LOIRE,47.38241,2.92528,,,,
190,COURCHEVEL,45.41466,6.63469,,,,
191,CRANS MONTANA,46.34257,7.49844,,,,
192,CRETEIL,48.79037,2.45557,,,,
193,Cugnaux,43.53714,1.345,,,,
