N,annee,etape,ville_depart,ville_arrivee,dep_lat,dep_lon,arr_lat,arr_lon,etape__distance,km_cum_dist,dep_adr,arr_adr,etape__vainqueur,etape__leader,vitesse,distance,partants,arrivants
1,1903,1,PARIS,LYON,48.85661,2.35222,45.76404,4.83566,467,467,"Paris, France","Lyon, France",Maurice Garin,Maurice Garin,25.679,2428,60,21
2,1903,2,LYON,MARSEILLE,45.76404,4.83566,43.29648,5.36978,374,841,"Lyon, France","Marseille, France",Hippolyte Aucouturier,Maurice Garin,,,,
3,1903,3,MARSEILLE,TOULOUSE,43.29648,5.36978,43.60465,1.44421,434,1275,"Marseille, France","Toulouse, France",Hippolyte Aucouturier,Maurice Garin,,,,
4,1903,4,TOULOUSE,BORDEAUX,43.60465,1.44421,44.83779,-0.57918,268,1543,"Toulouse, France","Bordeaux, France",Charles Laeser,Maurice Garin,,,,
5,1903,5,BORDEAUX,NANTES,44.83779,-0.57918,47.21837,-1.55362,425,1968,"Bordeaux, France","Nantes, France",Maurice Garin,Maurice Garin,,,,
6,1903,6,NANTES,PARIS,47.21837,-1.55362,48.85661,2.35222,460,2428,"Nantes, France","Paris, France",Maurice Garin,Maurice Garin,,,,
7,1904,1,PARIS,LYON,48.85661,2.35222,45.76404,4.83566,467,2895,"Paris, France","Lyon, France",M. Frederick,M. Frederick,25.265,2428,60,15
8,1904,2,LYON,MARSEILLE,45.76404,4.83566,43.29648,5.36978,374,3269,"Lyon, France","Marseille, France",Antoie Faure,Lombard,,,,
9,1904,3,MARSEILLE,TOULOUSE,43.29648,5.36978,43.60465,1.44421,434,3703,"Marseille, France","Toulouse, France",Henri Cornet,Henri Cornet,,,,
10,1904,4,TOULOUSE,BORDEAUX,43.60465,1.44421,44.83779,-0.57918,268,3971,"Toulouse, France","Bordeaux, France",Francois Beaugendre,Francois Beaugendre,,,,
11,1904,5,BORDEAUX,NANTES,44.83779,-0.57918,47.21837,-1.55362,425,4396,"Bordeaux, France","Nantes, France",Jean Bapti Dortignacq,Henri Cornet,,,,
12,1904,6,NANTES,PARIS,47.21837,-1.55362,48.85661,2.35222,460,4856,"Nantes, France","Paris, France",Jean Bapti Dortignacq,Henri Cornet,,,,
13,1905,1,PARIS,NANCY,48.85661,2.35222,48.69205,6.18442,340,5196,"Paris, France","Nancy, France",Louis Trousselier,Louis Trousselier,27.107,2994,60,24
14,1905,2,NANCY,BESANCON,48.69205,6.18442,47.23783,6.02405,299,5495,"Nancy, France","25000 BesanÃ§on, France",Hippolyte Aucouturier,Rene Pottier,,,,
15,1905,3,BESANCON,GRENOBLE,47.23783,6.02405,45.18853,5.72452,372,5867,"25000 BesanÃ§on, France","Grenoble, France",Louis Trousselier,Louis Trousselier,,,,
16,1905,4,GRENOBLE,TOULON,45.18853,5.72452,43.12423,5.92800,342,6209,"Grenoble, France","Toulon, France",Hippolyte Aucouturier,Louis Trousselier,,,,
17,1905,5,TOULON,NIMES,43.12423,5.92800,43.83670,4.36005,192,6401,"Toulon, France","Nimes, France",Louis Trousselier,Louis Trousselier,,,,
18,1905,6,NIMES,TOULOUSE,43.83670,4.36005,43.60465,1.44421,307,6708,"Nimes, France","Toulouse, France",Jean Bapti Dortignacq,Louis Trousselier,,,,
19,1905,7,TOULOUSE,BORDEAUX,43.60465,1.44421,44.83779,-0.57918,268,6976,"Toulouse, France","Bordeaux, France",Louis Trousselier,Louis Trousselier,,,,
20,1905,8,BORDEAUX,LA ROCHELLE,44.83779,-0.57918,46.16033,-1.15114,257,7233,"Bordeaux, France","La Rochelle, France",Hippolyte Aucouturier,Louis Trousselier,,,,
21,1905,9,LA ROCHELLE,RENNES,46.16033,-1.15114,48.11727,-1.67779,266,7499,"La Rochelle, France","Rennes, France",Louis Trousselier,Louis Trousselier,,,,
22,1905,10,RENNES,CAEN,48.11727,-1.67779,49.18286,-0.37068,168,7667,"Rennes, France","14000 Caen, France",Jean Bapti Dortignacq,Louis Trousselier,,,,
23,1905,11,CAEN,PARIS,49.18286,-0.37068,48.85661,2.35222,253,7920,"14000 Caen, France","Paris, France",Jean Bapti Dortignacq,Louis Trousselier,,,,
24,1906,1,PARIS,LILLE,48.85661,2.35222,50.62925,3.05726,275,8195,"Paris, France","Lille, France",Emile Georget,Emile Georget,24.463,4637,82,14
25,1906,2,DOUAI,NANCY,50.36787,3.08060,48.69205,6.18442,400,8595,"Douai, France","Nancy, France",Rene Pottier,Emile Georget,,,,
26,1906,3,NANCY,DIJON,48.69205,6.18442,47.32205,5.04148,416,9011,"Nancy, France","21000 Dijon, France",Rene Pottier,Rene Pottier,,,,
27,1906,4,DIJON,GRENOBLE,47.32205,5.04148,45.18853,5.72452,311,9322,"21000 Dijon, France","Grenoble, France",Rene Pottier,Rene Pottier,,,,
28,1906,5,GRENOBLE,NICE,45.18853,5.72452,43.71017,7.26195,345,9667,"Grenoble, France","Nice, France",Rene Pottier,Rene Pottier,,,,
29,1906,6,NICE,MARSEILLE,43.71017,7.26195,43.29648,5.36978,308,9975,"Nice, France","Marseille, France",Georges Passerieu,Rene Pottier,,,,
30,1906,7,MARSEILLE,TOULOUSE,43.29648,5.36978,43.60465,1.44421,480,10455,"Marseille, France","Toulouse, France",Louis Trousselier,Rene Pottier,,,,
31,1906,8,TOULOUSE,BAYONNE,43.60465,1.44421,43.49295,-1.47484,296,10751,"Toulouse, France","Bayonne, France",Jean Bapti Dortignacq,Rene Pottier,,,,
32,1906,9,BAYONNE,BORDEAUX,43.49295,-1.47484,44.83779,-0.57918,338,11089,"Bayonne, France","Bordeaux, France",Louis Trousselier,Rene Pottier,,,,
33,1906,10,BORDEAUX,NANTES,44.83779,-0.57918,47.21837,-1.55362,391,11480,"Bordeaux, France","Nantes, France",Louis Trousselier,Rene Pottier,,,,
34,1906,11,NANTES,BREST,47.21837,-1.55362,48.39039,-4.48608,321,11801,"Nantes, France","Brest, France",Louis Trousselier,Rene Pottier,,,,
35,1906,12,BREST,CAEN,48.39039,-4.48608,49.18286,-0.37068,415,12216,"Brest, France","14000 Caen, France",Georges Passerieu,Rene Pottier,,,,
36,1906,13,CAEN,PARIS,49.18286,-0.37068,48.85661,2.35222,259,12475,"14000 Caen, France","Paris, France",Rene Pottier,Rene Pottier,,,,
37,1907,1,PARIS,ROUBAIX,48.85661,2.35222,50.69270,3.17785,272,12747,"Paris, France","59100 Roubaix, France",Louis Trousselier,Louis Trousselier,28.47,4488,93,36
38,1907,2,ROUBAIX,METZ,50.69270,3.17785,49.11931,6.17572,398,13145,"59100 Roubaix, France","Metz, France",Emile Georget,Louis Trousselier,,,,
39,1907,3,METZ,BELFORT,49.11931,6.17572,47.63967,6.86385,259,13404,"Metz, France","Belfort, France",Emile Georget,Louis Trousselier,,,,
40,1907,4,BELFORT,LYON,47.63967,6.86385,45.76404,4.83566,309,13713,"Belfort, France","Lyon, France",Marcel Cadolle,Emile Georget,,,,
41,1907,5,LYON,GRENOBLE,45.76404,4.83566,45.18853,5.72452,311,14024,"Lyon, France","Grenoble, France",Emile Georget,Emile Georget,,,,
42,1907,6,GRENOBLE,NICE,45.18853,5.72452,43.71017,7.26195,345,14369,"Grenoble, France","Nice, France",Georges Passerieu,Emile Georget,,,,
43,1907,7,NICE,NIMES,43.71017,7.26195,43.83670,4.36005,345,14714,"Nice, France","Nimes, France",Emile Georget,Emile Georget,,,,
44,1907,8,NIMES,TOULOUSE,43.83670,4.36005,43.60465,1.44421,303,15017,"Nimes, France","Toulouse, France",Emile Georget,Emile Georget,,,,
45,1907,9,TOULOUSE,BAYONNE,43.60465,1.44421,43.49295,-1.47484,299,15316,"Toulouse, France","Bayonne, France",Lucien Petit-Breton,Emile Georget,,,,
46,1907,10,BAYONNE,BORDEAUX,43.49295,-1.47484,44.83779,-0.57918,269,15585,"Bayonne, France","Bordeaux, France",Gustave Garrigou,Lucien Petit-Breton,,,,
47,1907,12,BORDEAUX,NANTES,44.83779,-0.57918,47.21837,-1.55362,391,15976,"Bordeaux, France","Nantes, France",Lucien Petit-Breton,Lucien Petit-Breton,,,,
48,1907,13,NANTES,BREST,47.21837,-1.55362,48.39039,-4.48608,321,16297,"Nantes, France","Brest, France",Gustave Garrigou,Lucien Petit-Breton,,,,
49,1907,14,BREST,CAEN,48.39039,-4.48608,49.18286,-0.37068,415,16712,"Brest, France","14000 Caen, France",Emile Georget,Lucien Petit-Breton,,,,
50,1907,15,CAEN,PARIS,49.18286,-0.37068,48.85661,2.35222,251,16963,"14000 Caen, France","Paris, France",Georges Passerieu,Lucien Petit-Breton,,,,
51,1908,1,PARIS,ROUBAIX,48.85661,2.35222,50.69270,3.17785,272,17235,"Paris, France","59100 Roubaix, France",Georges Passerieu,Georges Passerieu,28.74,4488,110,36
52,1908,2,ROUBAIX,METZ,50.69270,3.17785,49.11931,6.17572,398,17633,"59100 Roubaix, France","Metz, France",Lucien Petit-Breton,Georges Passerieu,,,,
53,1908,3,METZ,BELFORT,49.11931,6.17572,47.63967,6.86385,259,17892,"Metz, France","Belfort, France",Francois Faber,Lucien Petit-Breton,,,,
54,1908,4,BELFORT,LYON,47.63967,6.86385,45.76404,4.83566,309,18201,"Belfort, France","Lyon, France",Francois Faber,Lucien Petit-Breton,,,,
55,1908,5,LYON,GRENOBLE,45.76404,4.83566,45.18853,5.72452,311,18512,"Lyon, France","Grenoble, France",Georges Passerieu,Lucien Petit-Breton,,,,
56,1908,6,GRENOBLE,NICE,45.18853,5.72452,43.71017,7.26195,345,18857,"Grenoble, France","Nice, France",Jean Bapti Dortignacq,Lucien Petit-Breton,,,,
57,1908,7,NICE,NIMES,43.71017,7.26195,43.83670,4.36005,345,19202,"Nice, France","Nimes, France",Lucien Petit-Breton,Lucien Petit-Breton,,,,
58,1908,8,NIMES,TOULOUSE,43.83670,4.36005,43.60465,1.44421,303,19505,"Nimes, France","Toulouse, France",Francois Faber,Lucien Petit-Breton,,,,
59,1908,9,TOULOUSE,BAYONNE,43.60465,1.44421,43.49295,-1.47484,299,19804,"Toulouse, France","Bayonne, France",Lucien Petit-Breton,Lucien Petit-Breton,,,,
60,1908,10,BAYONNE,BORDEAUX,43.49295,-1.47484,44.83779,-0.57918,269,20073,"Bayonne, France","Bordeaux, France",Georges Paulmier,Lucien Petit-Breton,,,,
61,1908,11,BORDEAUX,NANTES,44.83779,-0.57918,47.21837,-1.55362,391,20464,"Bordeaux, France","Nantes, France",Lucien Petit-Breton,Lucien Petit-Breton,,,,
62,1908,12,NANTES,BREST,47.21837,-1.55362,48.39039,-4.48608,321,20785,"Nantes, France","Brest, France",Francois Faber,Lucien Petit-Breton,,,,
63,1908,13,BREST,CAEN,48.39039,-4.48608,49.18286,-0.37068,415,21200,"Brest, France","14000 Caen, France",Georges Passerieu,Lucien Petit-Breton,,,,
64,1908,14,CAEN,PARIS,49.18286,-0.37068,48.85661,2.35222,251,21451,"14000 Caen, France","Paris, France",Lucien Petit-Breton,Lucien Petit-Breton,,,,
65,1909,1,PARIS,ROUBAIX,48.85661,2.35222,50.69270,3.17785,272,21723,"Paris, France","59100 Roubaix, France",Hauwaert Cyrille Van,Hauwaert Cyrille Van,28.658,4497,150,55
66,1909,2,ROUBAIX,METZ,50.69270,3.17785,49.11931,6.17572,398,22121,"59100 Roubaix, France","Metz, France",Francois Faber,Francois Faber,,,,
67,1909,3,METZ,BELFORT,49.11931,6.17572,47.63967,6.86385,259,22380,"Metz, France","Belfort, France",Francois Faber,Francois Faber,,,,
68,1909,4,BELFORT,LYON,47.63967,6.86385,45.76404,4.83566,309,22689,"Belfort, France","Lyon, France",Francois Faber,Francois Faber,,,,
69,1909,5,LYON,GRENOBLE,45.76404,4.83566,45.18853,5.72452,311,23000,"Lyon, France","Grenoble, France",Francois Faber,Francois Faber,,,,
70,1909,6,GRENOBLE,NICE,45.18853,5.72452,43.71017,7.26195,346,23346,"Grenoble, France","Nice, France",Francois Faber,Francois Faber,,,,
71,1909,7,NICE,NIMES,43.71017,7.26195,43.83670,4.36005,345,23691,"Nice, France","Nimes, France",Ernest Paul,Francois Faber,,,,
72,1909,8,NIMES,TOULOUSE,43.83670,4.36005,43.60465,1.44421,303,23994,"Nimes, France","Toulouse, France",Jean Alavoine,Francois Faber,,,,
73,1909,9,TOULOUSE,BAYONNE,43.60465,1.44421,43.49295,-1.47484,299,24293,"Toulouse, France","Bayonne, France",Costant Menager,Francois Faber,,,,
74,1909,10,BAYONNE,BORDEAUX,43.49295,-1.47484,44.83779,-0.57918,269,24562,"Bayonne, France","Bordeaux, France",Francois Faber,Francois Faber,,,,
75,1909,11,BORDEAUX,NANTES,44.83779,-0.57918,47.21837,-1.55362,391,24953,"Bordeaux, France","Nantes, France",Louis Trousselier,Francois Faber,,,,
76,1909,12,NANTES,BREST,47.21837,-1.55362,48.39039,-4.48608,321,25274,"Nantes, France","Brest, France",Gustave Garrigou,Francois Faber,,,,
77,1909,13,BREST,CAEN,48.39039,-4.48608,49.18286,-0.37068,424,25698,"Brest, France","14000 Caen, France",Paul Duboc,Francois Faber,,,,
78,1909,14,CAEN,PARIS,49.18286,-0.37068,48.85661,2.35222,250,25948,"14000 Caen, France","Paris, France",Jean Alavoine,Francois Faber,,,,
79,1910,1,PARIS,ROUBAIX,48.85661,2.35222,50.69270,3.17785,269,26217,"Paris, France","59100 Roubaix, France",Charles Crupelandt,Charles Crupelandt,29.099,4734,110,41
80,1910,2,ROUBAIX,METZ,50.69270,3.17785,49.11931,6.17572,398,26615,"59100 Roubaix, France","Metz, France",Francois Faber,Francois Faber,,,,
81,1910,3,METZ,BELFORT,49.11931,6.17572,47.63967,6.86385,259,26874,"Metz, France","Belfort, France",Emile Georget,Francois Faber,,,,
82,1910,4,BELFORT,LYON,47.63967,6.86385,45.76404,4.83566,309,27183,"Belfort, France","Lyon, France",Francois Faber,Francois Faber,,,,
83,1910,5,LYON,GRENOBLE,45.76404,4.83566,45.18853,5.72452,311,27494,"Lyon, France","Grenoble, France",Octave Lapize,Francois Faber,,,,
84,1910,6,GRENOBLE,NICE,45.18853,5.72452,43.71017,7.26195,345,27839,"Grenoble, France","Nice, France",Julien Maitron,Francois Faber,,,,
85,1910,7,NICE,NIMES,43.71017,7.26195,43.83670,4.36005,345,28184,"Nice, France","Nimes, France",Francois Faber,Francois Faber,,,,
86,1910,8,NIMES,PERPIGNAN,43.83670,4.36005,42.68866,2.89483,216,28400,"Nimes, France","Perpignan, France",Georges Paulmier,Francois Faber,,,,
87,1910,9,PERPIGNAN,BAGNERES DE LUCHON,42.68866,2.89483,42.78896,0.59294,289,28689,"Perpignan, France","31110 BagnÃẀres-de-Luchon, France",Octave Lapize,Francois Faber,,,,
88,1910,10,BAGNERES DE LUCHON,BAYONNE,42.78896,0.59294,43.49295,-1.47484,326,29015,"31110 BagnÃẀres-de-Luchon, France","Bayonne, France",Octave Lapize,Francois Faber,,,,
89,1910,11,BAYONNE,BORDEAUX,43.49295,-1.47484,44.83779,-0.57918,269,29284,"Bayonne, France","Bordeaux, France",Ernest Paul,Francois Faber,,,,
90,1910,12,BORDEAUX,NANTES,44.83779,-0.57918,47.21837,-1.55362,391,29675,"Bordeaux, France","Nantes, France",Louis Trousselier,Francois Faber,,,,
91,1910,13,NANTES,BREST,47.21837,-1.55362,48.39039,-4.48608,321,29996,"Nantes, France","Brest, France",Gustave Garrigou,Octave Lapize,,,,
92,1910,14,BREST,CAEN,48.39039,-4.48608,49.18286,-0.37068,424,30420,"Brest, France","14000 Caen, France",Octave Lapize,Octave Lapize,,,,
93,1910,15,CAEN,PARIS,49.18286,-0.37068,48.85661,2.35222,262,30682,"14000 Caen, France","Paris, France",Ernesto Azzini,Octave Lapize,,,,
94,1911,1,PARIS,DUNKERQUE,48.85661,2.35222,51.03437,2.37678,351,31033,"Paris, France","Dunkirk, France",Gustave Garrigou,Gustave Garrigou,27.322,5343,84,28
95,1911,2,DUNKERQUE,LONGWY,51.03437,2.37678,49.51992,5.76177,388,31421,"Dunkirk, France","Longwy, France",Jules Masselis,Jules Masselis,,,,
96,1911,3,LONGWY,BELFORT,49.51992,5.76177,47.63967,6.86385,331,31752,"Longwy, France","Belfort, France",Francois Faber,Francois Faber,,,,
97,1911,4,BELFORT,CHAMONIX,47.63967,6.86385,45.92370,6.86943,344,32096,"Belfort, France","74400 Chamonix, France",Charles Crupelandt,Gustave Garrigou,,,,
98,1911,5,CHAMONIX,GRENOBLE,45.92370,6.86943,45.18853,5.72452,366,32462,"74400 Chamonix, France","Grenoble, France",Emile Georget,Gustave Garrigou,,,,
99,1911,6,GRENOBLE,NICE,45.18853,5.72452,43.71017,7.26195,348,32810,"Grenoble, France","Nice, France",Francois Faber,Gustave Garrigou,,,,
100,1911,7,NICE,MARSEILLE,43.71017,7.26195,43.29648,5.36978,334,33144,"Nice, France","Marseille, France",Charles Crupelandt,Gustave Garrigou,,,,
101,1911,8,MARSEILLE,PERPIGNAN,43.29648,5.36978,42.68866,2.89483,335,33479,"Marseille, France","Perpignan, France",Paul Duboc,Gustave Garrigou,,,,
102,1911,9,PERPIGNAN,BAGNERES DE LUCHON,42.68866,2.89483,42.78896,0.59294,289,33768,"Perpignan, France","31110 BagnÃẀres-de-Luchon, France",Paul Duboc,Gustave Garrigou,,,,
103,1911,10,BAGNERES DE LUCHON,BAYONNE,42.78896,0.59294,43.49295,-1.47484,326,34094,"31110 BagnÃẀres-de-Luchon, France","Bayonne, France",Gustave Garrigou,Gustave Garrigou,,,,
104,1911,11,BAYONNE,LA ROCHELLE,43.49295,-1.47484,46.16033,-1.15114,379,34473,"Bayonne, France","La Rochelle, France",Paul Duboc,Gustave Garrigou,,,,
105,1911,12,LA ROCHELLE,BREST,46.16033,-1.15114,48.39039,-4.48608,470,34943,"La Rochelle, France","Brest, France",Marcel Godivier,Gustave Garrigou,,,,
106,1911,13,BREST,CHERBOURG,48.39039,-4.48608,49.63373,-1.62214,405,35348,"Brest, France","Cherbourg-Octeville, Cherbourg, France",Gustave Garrigou,Gustave Garrigou,,,,
107,1911,14,CHERBOURG,LE HAVRE,49.63373,-1.62214,49.49437,0.10793,361,35709,"Cherbourg-Octeville, Cherbourg, France","Le Havre, France",Paul Duboc,Gustave Garrigou,,,,
108,1911,15,LE HAVRE,PARIS,49.49437,0.10793,48.85661,2.35222,307,36016,"Le Havre, France","Paris, France",Marcel Godivier,Gustave Garrigou,,,,
109,1912,1,PARIS,DUNKERQUE,48.85661,2.35222,51.03437,2.37678,351,36367,"Paris, France","Dunkirk, France",Charles Crupelandt,Charles Crupelandt,27.763,5289,131,41
110,1912,2,DUNKERQUE,LONGWY,51.03437,2.37678,49.51992,5.76177,388,36755,"Dunkirk, France","Longwy, France",Odile Defraye,Vincenzo Borgarello,,,,
111,1912,3,LONGWY,BELFORT,49.51992,5.76177,47.63967,6.86385,331,37086,"Longwy, France","Belfort, France",Eugene Christophe,Odile Defraye,,,,
112,1912,4,BELFORT,CHAMONIX,47.63967,6.86385,45.92370,6.86943,344,37430,"Belfort, France","74400 Chamonix, France",Eugene Christophe,Odile Defraye,,,,
113,1912,5,CHAMONIX,GRENOBLE,45.92370,6.86943,45.18853,5.72452,366,37796,"74400 Chamonix, France","Grenoble, France",Eugene Christophe,Odile Defraye,,,,
114,1912,6,GRENOBLE,NICE,45.18853,5.72452,43.71017,7.26195,323,38119,"Grenoble, France","Nice, France",Octave Lapize,Odile Defraye,,,,
115,1912,7,NICE,MARSEILLE,43.71017,7.26195,43.29648,5.36978,334,38453,"Nice, France","Marseille, France",Odile Defraye,Odile Defraye,,,,
116,1912,8,MARSEILLE,PERPIGNAN,43.29648,5.36978,42.68866,2.89483,335,38788,"Marseille, France","Perpignan, France",Vincenzo Borgarello,Odile Defraye,,,,
117,1912,9,PERPIGNAN,BAGNERES DE LUCHON,42.68866,2.89483,42.78896,0.59294,289,39077,"Perpignan, France","31110 BagnÃẀres-de-Luchon, France",Odile Defraye,Odile Defraye,,,,
118,1912,10,BAGNERES DE LUCHON,BAYONNE,42.78896,0.59294,43.49295,-1.47484,326,39403,"31110 BagnÃẀres-de-Luchon, France","Bayonne, France",Louis Mottiat,Odile Defraye,,,,
119,1912,11,BAYONNE,LA ROCHELLE,43.49295,-1.47484,46.16033,-1.15114,379,39782,"Bayonne, France","La Rochelle, France",Jean Alavoine,Odile Defraye,,,,
120,1912,12,LA ROCHELLE,BREST,46.16033,-1.15114,48.39039,-4.48608,470,40252,"La Rochelle, France","Brest, France",Louis Heusghem,Odile Defraye,,,,
121,1912,13,BREST,CHERBOURG,48.39039,-4.48608,49.63373,-1.62214,405,40657,"Brest, France","Cherbourg-Octeville, Cherbourg, France",Jean Alavoine,Odile Defraye,,,,
122,1912,14,CHERBOURG,LE HAVRE,49.63373,-1.62214,49.49437,0.10793,361,41018,"Cherbourg-Octeville, Cherbourg, France","Le Havre, France",Vincenzo Borgarello,Odile Defraye,,,,
123,1912,15,LE HAVRE,PARIS,49.49437,0.10793,48.85661,2.35222,317,41335,"Le Havre, France","Paris, France",Jean Alavoine,Odile Defraye,,,,
124,1913,1,PARIS,LE HAVRE,48.85661,2.35222,49.49437,0.10793,388,41723,"Paris, France","Le Havre, France",Giovanni Micheletto,Giovanni Micheletto,26.715,5287,140,25
125,1913,2,LE HAVRE,CHERBOURG,49.49437,0.10793,49.63373,-1.62214,364,42087,"Le Havre, France","Cherbourg-Octeville, Cherbourg, France",Jules Masselis,Marcel Buysse,,,,
126,1913,3,CHERBOURG,BREST,49.63373,-1.62214,48.39039,-4.48608,405,42492,"Cherbourg-Octeville, Cherbourg, France","Brest, France",Henri Pelisier,Odile Defraye,,,,
127,1913,4,BREST,LA ROCHELLE,48.39039,-4.48608,46.16033,-1.15114,470,42962,"Brest, France","La Rochelle, France",Marcel Buysse,Odile Defraye,,,,
128,1913,5,LA ROCHELLE,BAYONNE,46.16033,-1.15114,43.49295,-1.47484,379,43341,"La Rochelle, France","Bayonne, France",Lerberghe Henri Van,Odile Defraye,,,,
129,1913,6,BAYONNE,BAGNERES DE LUCHON,43.49295,-1.47484,42.78896,0.59294,326,43667,"Bayonne, France","31110 BagnÃẀres-de-Luchon, France",Philippe Thys,Philippe Thys,,,,
130,1913,7,BAGNERES DE LUCHON,PERPIGNAN,42.78896,0.59294,42.68866,2.89483,323,43990,"31110 BagnÃẀres-de-Luchon, France","Perpignan, France",Marcel Buysse,Marcel Buysse,,,,
131,1913,8,PERPIGNAN,AIX EN PROVENCE,42.68866,2.89483,43.52974,5.44743,325,44315,"Perpignan, France","Aix-en-Provence, France",Gustave Garrigou,Marcel Buysse,,,,
132,1913,9,AIX EN PROVENCE,NICE,43.52974,5.44743,43.71017,7.26195,356,44671,"Aix-en-Provence, France","Nice, France",Firmin Lambot,Philippe Thys,,,,
133,1913,10,NICE,GRENOBLE,43.71017,7.26195,45.18853,5.72452,333,45004,"Nice, France","Grenoble, France",Francois Faber,Philippe Thys,,,,
134,1913,11,GRENOBLE,GINEBRA,45.18853,5.72452,46.20439,6.14316,325,45329,"Grenoble, France","Geneva, Switzerland",Marcel Buysse,Philippe Thys,,,,
135,1913,12,GINEBRA,BELFORT,46.20439,6.14316,47.63967,6.86385,335,45664,"Geneva, Switzerland","Belfort, France",Marcel Buysse,Philippe Thys,,,,
136,1913,13,BELFORT,LONGWY,47.63967,6.86385,49.51992,5.76177,325,45989,"Belfort, France","Longwy, France",Francois Faber,Philippe Thys,,,,
137,1913,14,LONGWY,DUNKERQUE,49.51992,5.76177,51.03437,2.37678,393,46382,"Longwy, France","Dunkirk, France",Marcel Buysse,Philippe Thys,,,,
138,1913,15,DUNKERQUE,PARIS,51.03437,2.37678,48.85661,2.35222,340,46722,"Dunkirk, France","Paris, France",Marcel Buysse,Philippe Thys,,,,
139,1914,1,PARIS,LE HAVRE,48.85661,2.35222,49.49437,0.10793,388,47110,"Paris, France","Le Havre, France",Philippe Thys,Philippe Thys,26.835,5380,145,54
140,1914,2,LE HAVRE,CHERBOURG,49.49437,0.10793,49.63373,-1.62214,364,47474,"Le Havre, France","Cherbourg-Octeville, Cherbourg, France",Jean Rossius,Philippe Thys,,,,
141,1914,3,CHERBOURG,BREST,49.63373,-1.62214,48.39039,-4.48608,405,47879,"Cherbourg-Octeville, Cherbourg, France","Brest, France",Emile Engel,Philippe Thys,,,,
142,1914,4,BREST,LA ROCHELLE,48.39039,-4.48608,46.16033,-1.15114,470,48349,"Brest, France","La Rochelle, France",Oscar Egg,Philippe Thys,,,,
143,1914,5,LA ROCHELLE,BAYONNE,46.16033,-1.15114,43.49295,-1.47484,379,48728,"La Rochelle, France","Bayonne, France",Oscar Egg,Philippe Thys,,,,
144,1914,6,BAYONNE,BAGNERES DE LUCHON,43.49295,-1.47484,42.78896,0.59294,326,49054,"Bayonne, France","31110 BagnÃẀres-de-Luchon, France",Firmin Lambot,Philippe Thys,,,,
145,1914,7,BAGNERES DE LUCHON,PERPIGNAN,42.78896,0.59294,42.68866,2.89483,314,49368,"31110 BagnÃẀres-de-Luchon, France","Perpignan, France",Jean Alavoine,Philippe Thys,,,,
146,1914,8,PERPIGNAN,MARSEILLE,42.68866,2.89483,43.29648,5.36978,370,49738,"Perpignan, France","Marseille, France",Octave Lapize,Philippe Thys,,,,
147,1914,9,MARSEILLE,NICE,43.29648,5.36978,43.71017,7.26195,338,50076,"Marseille, France","Nice, France",Jean Rossius,Philippe Thys,,,,
148,1914,10,NICE,GRENOBLE,43.71017,7.26195,45.18853,5.72452,333,50409,"Nice, France","Grenoble, France",Henri Pelisier,Philippe Thys,,,,
149,1914,11,GRENOBLE,GINEBRA,45.18853,5.72452,46.20439,6.14316,325,50734,"Grenoble, France","Geneva, Switzerland",Gustave Garrigou,Philippe Thys,,,,
150,1914,12,GINEBRA,BELFORT,46.20439,6.14316,47.63967,6.86385,335,51069,"Geneva, Switzerland","Belfort, France",Henri Pelisier,Philippe Thys,,,,
151,1914,13,BELFORT,LONGWY,47.63967,6.86385,49.51992,5.76177,325,51394,"Belfort, France","Longwy, France",Francois Faber,Philippe Thys,,,,
152,1914,14,LONGWY,DUNKERQUE,49.51992,5.76177,51.03437,2.37678,393,51787,"Longwy, France","Dunkirk, France",Francois Faber,Philippe Thys,,,,
153,1914,15,DUNKERQUE,PARIS,51.03437,2.37678,48.85661,2.35222,340,52127,"Dunkirk, France","Paris, France",Henri Pelisier,Philippe Thys,,,,
154,1919,1,PARIS,LE HAVRE,48.85661,2.35222,49.49437,0.10793,388,52515,"Paris, France","Le Havre, France",Jean Rossius,Jean Rossius,24.056,5560,67,10
155,1919,2,LE HAVRE,CHERBOURG,49.49437,0.10793,49.63373,-1.62214,364,52879,"Le Havre, France","Cherbourg-Octeville, Cherbourg, France",Henri Pelisier,Henri Pelisier,,,,
156,1919,3,CHERBOURG,BREST,49.63373,-1.62214,48.39039,-4.48608,405,53284,"Cherbourg-Octeville, Cherbourg, France","Brest, France",Francis Pelisier,Henri Pelisier,,,,
157,1919,4,BREST,LES SABLES D OLONNE,48.39039,-4.48608,46.49296,-1.79549,412,53696,"Brest, France","85100 Les Sables-d'Olonne, France",Jean Alavoine,Eugene Christophe,,,,
158,1919,5,LES SABLES D OLONNE,BAYONNE,46.49296,-1.79549,43.49295,-1.47484,482,54178,"85100 Les Sables-d'Olonne, France","Bayonne, France",Jean Alavoine,Eugene Christophe,,,,
159,1919,6,BAYONNE,BAGNERES DE LUCHON,43.49295,-1.47484,42.78896,0.59294,326,54504,"Bayonne, France","31110 BagnÃẀres-de-Luchon, France",Honore Barthelemy,Eugene Christophe,,,,
160,1919,7,BAGNERES DE LUCHON,PERPIGNAN,42.78896,0.59294,42.68866,2.89483,323,54827,"31110 BagnÃẀres-de-Luchon, France","Perpignan, France",Jean Alavoine,Eugene Christophe,,,,
