N, lon, lat
1,9.48037052154541,42.805419921875
2,9.45419883728027,42.6585960388184
3,9.47324275970459,42.6155738830566
4,9.50937461853027,42.5855941772461
5,9.52617168426514,42.5526390075684
6,9.55644512176514,42.1609382629395
7,9.55068302154541,42.1297378540039
8,9.42841815948486,41.972412109375
9,9.40087890625,41.9262199401855
10,9.39482402801514,41.731201171875
11,9.37421894073486,41.6788063049316
12,9.33086013793945,41.6271476745605
13,9.25341796875,41.4600563049316
14,9.18613243103027,41.3849105834961
15,9.00302791595459,41.4765625
16,8.89501953125,41.5161590576172
17,8.84208965301514,41.5588874816895
18,8.80751991271973,41.58837890625
19,8.82978534698486,41.627685546875
20,8.87900352478027,41.6685562133789
21,8.88681602478027,41.70068359375
22,8.77099609375,41.7371101379395
23,8.71796894073486,41.7614250183105
24,8.71865177154541,41.8040046691895
25,8.75869178771973,41.8704109191895
26,8.74042987823486,41.9251441955566
27,8.67363262176514,41.92236328125
28,8.62187480926514,41.9307136535645
29,8.61513710021973,41.9591293334961
30,8.65341854095459,41.9955558776855
31,8.70253849029541,42.0431175231934
32,8.70097637176514,42.0956077575684
33,8.6416015625,42.1182098388672
34,8.58779335021973,42.1608390808105
35,8.56621170043945,42.2187995910645
36,8.60791015625,42.2584495544434
37,8.67548751831055,42.2840347290039
38,8.62587928771973,42.3434104919434
39,8.59238338470459,42.3447265625
40,8.56562519073486,42.3577156066895
41,8.58750057220459,42.3853034973145
42,8.64003944396973,42.4265632629395
43,8.71308612823486,42.5497550964355
44,8.81484413146973,42.60791015625
45,8.99492168426514,42.6453094482422
46,9.04365158081055,42.6616706848145
47,9.08837985992432,42.7049789428711
48,9.13789081573486,42.73291015625
49,9.19804668426514,42.7291984558105
50,9.25351524353027,42.7124519348145
51,9.28769588470459,42.6946296691895
52,9.31337833404541,42.7131805419922
53,9.33837890625,42.7668952941895
54,9.32304668426514,42.8140640258789
55,9.33095741271973,42.9438018798828
56,9.36318397521973,43.0173835754395
57,9.41523456573486,43.021484375
58,9.46328163146973,42.9810066223145
59,9.46084022521973,42.9452133178711
60,9.47861289978027,42.8605003356934
61,9.48037052154541,42.805419921875
62,NA,NA
63,-1.17832028865814,45.904052734375
64,-1.21357440948486,45.8166007995605
65,-1.28027355670929,45.8971176147461
66,-1.36870110034943,45.9676742553711
67,-1.38886737823486,46.032958984375
68,-1.38867211341858,46.0503921508789
69,-1.28505837917328,46.002685546875
70,-1.17832028865814,45.904052734375
71,NA,NA
72,5.78974580764771,49.5382804870605
73,5.82343769073486,49.5050773620605
74,5.9013671875,49.48974609375
75,5.92890644073486,49.4775390625
76,5.95947265625,49.4546394348145
77,6.01142597198486,49.4454612731934
78,6.07412099838257,49.4546394348145
79,6.11992216110229,49.4852066040039
80,6.18105459213257,49.4989280700684
81,6.24218702316284,49.4943389892578
82,6.27734375,49.4775390625
83,6.34433603286743,49.4527359008789
84,NA,NA
85,7.61562490463257,47.5927238464355
86,7.56543016433716,47.6065406799316
87,7.52939462661743,47.6738777160645
88,7.53857469558716,47.7736320495605
89,7.59326219558716,47.9056625366211
90,7.60849618911743,48.0025863647461
91,7.58417987823486,48.0643081665039
92,7.61660194396973,48.1567878723145
93,7.70566415786743,48.280029296875
94,7.76513624191284,48.4100112915039
95,7.79482460021973,48.5468254089355
96,7.83798789978027,48.6360359191895
97,7.92275381088257,48.6985359191895
98,8.1240234375,48.873291015625
99,8.14033222198486,48.8864250183105
100,8.13486385345459,48.9735832214355
101,8.08066368103027,48.9858894348145
102,8.00126934051514,49.0109367370605
103,7.79921865463257,49.0418968200684
104,7.61093807220459,49.061767578125
105,7.52548885345459,49.0863761901855
106,7.45058631896973,49.1521949768066
107,7.40419912338257,49.153076171875
108,7.31337881088257,49.1295394897461
109,7.19990205764771,49.1136245727539
110,7.11738252639771,49.1275405883789
111,7.06572246551514,49.1248550415039
112,7.03671884536743,49.1126937866211
113,7.02216768264771,49.1234359741211
114,7.00146484375,49.1798820495605
115,6.95830106735229,49.1946296691895
116,6.89121103286743,49.20751953125
117,6.84951162338257,49.2019538879395
118,6.82070350646973,49.1739273071289
119,6.77626895904541,49.1541481018066
120,6.73544931411743,49.1605987548828
121,6.60761785507202,49.2908706665039
122,6.57470703125,49.3196792602539
123,6.56630802154541,49.34619140625
124,6.53427696228027,49.3946800231934
125,6.45810508728027,49.44287109375
126,6.38222646713257,49.4581527709961
127,6.34433603286743,49.4527359008789
128,NA,NA
129,7.02109336853027,45.92578125
130,7.00390625,45.9588356018066
131,6.95371103286743,46.0171394348145
132,6.89726543426514,46.0517578125
133,6.85800790786743,46.0894050598145
134,6.80566453933716,46.1306648254395
135,6.77207040786743,46.1651344299316
136,6.81679677963257,46.2751922607422
137,6.7841796875,46.31396484375
138,6.76738262176514,46.3691902160645
139,6.77607440948486,46.4066429138184
140,6.75810527801514,46.415771484375
141,6.57822227478027,46.4373512268066
142,6.42890596389771,46.4305191040039
143,6.32187509536743,46.3936996459961
144,6.23466730117798,46.3326148986816
145,6.22421884536743,46.3194351196289
146,6.22958993911743,46.3084487915039
147,6.27294969558716,46.2522430419922
148,6.19941425323486,46.1930694580078
149,6.08662128448486,46.1470222473145
150,6.00664091110229,46.142333984375
151,5.97148418426514,46.1512184143066
152,5.97001934051514,46.2146949768066
153,6.0361328125,46.2380867004395
154,6.09589862823486,46.2793960571289
155,6.11591815948486,46.337646484375
156,6.12324237823486,46.3786125183105
157,6.06025362014771,46.4281730651855
158,6.06796884536743,46.4585418701172
159,6.10703086853027,46.5160636901855
